Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Christel Happach-Kasan;Happach-Kasan;Christel;f;FDP
Stephan Harbarth;Harbarth;Stephan;m;CDU/CSU
Jürgen Hardt;Hardt;Jürgen;m;CDU/CSU
Michael Hartmann;Hartmann;Michael;m;SPD
Gerda Hasselfeldt;Hasselfeldt;Gerda;f;CDU/CSU
Britta Haßelmann;Haßelmann;Britta;f;BÜNDNIS 90/DIE GRÜNEN
Heinz-Peter Haustein;Haustein;Heinz-Peter;m;FDP
Matthias Heider;Heider;Matthias;m;CDU/CSU
Helmut Heiderich;Heiderich;Helmut;m;CDU/CSU
Hubertus Heil;Heil;Hubertus;m;SPD
Mechthild Heil;Heil;Mechthild;f;CDU/CSU
Rosemarie Hein;Hein;Rosemarie;f;DIE LINKE
Ursula Heinen-Esser;Heinen-Esser;Ursula;f;CDU/CSU
Frank Heinrich;Heinrich;Frank;m;CDU/CSU
Wolfgang Hellmich;Hellmich;Wolfgang;m;SPD
Rolf Hempelmann;Hempelmann;Rolf;m;SPD
Barbara Hendricks;Hendricks;Barbara;f;SPD
Rudolf Henke;Henke;Rudolf;m;CDU/CSU
Michael Hennrich;Hennrich;Michael;m;CDU/CSU
Bettina Herlitzius;Herlitzius;Bettina;f;BÜNDNIS 90/DIE GRÜNEN
Winfried Hermann;Hermann;Winfried;m;BÜNDNIS 90/DIE GRÜNEN
Jürgen Herrmann;Herrmann;Jürgen;m;CDU/CSU
Gustav Herzog;Herzog;Gustav;m;SPD
Ansgar Heveling;Heveling;Ansgar;m;CDU/CSU
Gabriele Hiller-Ohm;Hiller-Ohm;Gabriele;f;SPD
Ernst Hinsken;Hinsken;Ernst;m;CDU/CSU
Peter Hintze;Hintze;Peter;m;CDU/CSU
Petra Hinz;Hinz;Petra;f;SPD
Priska Hinz;Hinz;Priska;f;BÜNDNIS 90/DIE GRÜNEN
Christian Hirte;Hirte;Christian;m;CDU/CSU
Robert Hochbaum;Hochbaum;Robert;m;CDU/CSU
Manuel Höferlin;Höferlin;Manuel;m;FDP
Elke Hoff;Hoff;Elke;f;FDP
Ulrike Höfken;Höfken;Ulrike;f;BÜNDNIS 90/DIE GRÜNEN
Frank Hofmann;Hofmann;Frank;m;SPD
Anton Hofreiter;Hofreiter;Anton;m;BÜNDNIS 90/DIE GRÜNEN
Inge Höger;Höger;Inge;f;DIE LINKE
Eva Högl;Högl;Eva;f;SPD
Bärbel Höhn;Höhn;Bärbel;f;BÜNDNIS 90/DIE GRÜNEN
Barbara Höll;Höll;Barbara;f;DIE LINKE
Karl Holmeier;Holmeier;Karl;m;CDU/CSU
Franz-Josef Holzenkamp;Holzenkamp;Franz-Josef;m;CDU/CSU
Birgit Homburger;Homburger;Birgit;f;FDP
Ingrid Hönlinger;Hönlinger;Ingrid;f;BÜNDNIS 90/DIE GRÜNEN
Thilo Hoppe;Hoppe;Thilo;m;BÜNDNIS 90/DIE GRÜNEN
Joachim Hörster;Hörster;Joachim;m;CDU/CSU
Werner Hoyer;Hoyer;Werner;m;FDP
Anette Hübinger;Hübinger;Anette;f;CDU/CSU
Christel Humme;Humme;Christel;f;SPD
Andrej Hunko;Hunko;Andrej;m;DIE LINKE
Hubert Hüppe;Hüppe;Hubert;m;CDU/CSU
Thomas Jarzombek;Jarzombek;Thomas;m;CDU/CSU
Dieter Jasper;Jasper;Dieter;m;CDU/CSU
Ulla Jelpke;Jelpke;Ulla;f;DIE LINKE
Lukrezia Jochimsen;Jochimsen;Lukrezia;f;DIE LINKE
Andreas Jung;Jung;Andreas;m;CDU/CSU
Franz Josef Jung;Jung;Franz Josef;m;CDU/CSU
Josip Juratovic;Juratovic;Josip;m;SPD
